,Title,Runtime,Stars,Year,Budget,Promo,Season,Rating,Genre,R1,R2,R3,Success
19,"""Heartstrings and Happenstance""",137,1,2019,135.10690700135487,152.14219549289933,Summer,PG13,Romantic Comedy,"""An attempt at suspense that lacks the necessary buildup for excitement.""","""A forgettable cinematic experience with forgettable characters.""","""A visually stunning experience that leaves a lasting impression.""",False
20,"""Love in the City Lights""",132,1,2006,91.42006187561314,54.82520972061803,Spring,PG,Romantic Comedy,"""An uninspired plotline that lacks coherence and direction.""","""A movie that struggles to create a believable and immersive world.""","""An enchanting tale that seamlessly weaves emotion and excitement.""",False
21,"""The Date Night Disaster""",136,1,2007,108475311.71192522,78.64935809808033,Summer,PG13,Romantic Comedy,"""An attempt at drama that feels contrived and unengaging.""","""An underdeveloped cinematic effort with unremarkable performances.""","""A film that lacks originality and fails to offer anything fresh.""",False
22,"""Cupid's Chaotic Comedy""",136,100,2010,61.969754281778314,32.502883938759624,Spring,R,Romantic Comedy,"""An unconvincing portrayal of suspense that fails to thrill.""","""A lackluster attempt at storytelling with shallow character development.""","""An uninspired movie that fails to connect with audiences.""",False
23,"""Blind Date Bonanza""",144,0,2022,86.8994049914604,81.96030016786857,Spring,PG,Romantic Comedy,"""A confusing narrative that leaves viewers bewildered and unsatisfied.""","""An attempt at drama that lacks authenticity and emotional depth.""","""A cinematic gem that transcends genres, leaving a lasting impact.""",False
24,"""Love on the Bookshelf""",138,0,2008,139.5913640124419,204.08567475104005,Summer,R,Romantic Comedy,"""A forgettable cinematic endeavor with weak character motivations.""","""An uninspired storyline that feels predictable and uninspiring.""","""A timeless classic that evokes nostalgia and admiration.""",False
25,"""Mismatched Melodies""",128,1,2021,87.93892519444097,114.7744868690382,Fall,R,Romantic Comedy,"""A film that struggles to hold attention due to a lack of intrigue.""","""A visually captivating masterpiece that mesmerizes with its visuals.""","""An attempt at suspense that lacks genuine tension and excitement.""",False
26,"""The Wedding Planner's Dilemma""",133,3,2021,84.20986360205944,104.45872608407002,Winter,PG13,Romantic Comedy,"""A disjointed plotline that fails to provide a cohesive viewing experience.""","""An uninspired movie with a lack of creativity and innovation.""","""An inspiring story that resonates deeply with its audience.""",False
27,"""Falling for Mr. Wrong""",136,1,2022,156.6363851603771,166.68019556488625,Summer,PG,Romantic Comedy,"""A lackluster narrative that fails to engage or immerse the audience.""","""An unconvincing portrayal of emotion that fails to resonate.""","""A film that enchants and captivates audiences effortlessly.""",False
28,"""Destination: Love""",137,3,2019,97.25223851633429,110.35998564220868,Winter,PG,Romantic Comedy,"""An underwhelming attempt at storytelling with little substance.""","""A film with potential that falls short due to poor execution.""","""An immersive narrative that sparks imagination and wonder.""",False
29,"""Romantic Rendezvous""",128,2,2008,35.29199123931864,19.450051926315524,Winter,PG,Romantic Comedy,"""An uninspired portrayal of drama that feels artificial and hollow.""","""A movie that lacks coherence and struggles with its storytelling.""","""An attempt at suspense that lacks the necessary build-up for excitement.""",False
30,"""Heartstrings and Rollercoasters""",120,0,2005,73138432.70672663,87.95552170838496,Spring,R,Romantic Comedy,"""A lackluster cinematic experience with unremarkable character development.""","""A celebration of the human spirit that uplifts and inspires.""","""A cinematic triumph that skillfully balances drama and emotion.""",False
31,"""The Love Lottery""",137,0,2004,43.094421655726094,36.37438165687561,Summer,R,Romantic Comedy,"""An unconvincing attempt at humor that falls flat and feels forced.""","""A confusing narrative that leaves audiences disconnected and uninterested.""","""An uninspired plot that fails to offer anything intriguing or captivating.""",False
32,"""Unexpected Love Notes""",126,1,2015,30239136.298022225,44.48052934463985,Winter,PG,Romantic Comedy,"""A film that fails to evoke any genuine emotion or connection.""","""An attempt at drama that feels contrived and unconvincing.""","""An emotionally resonant journey that touches the heartstrings.""",False
33,"""The Love Potion Predicament""",141,0,2023,54.431613266086366,29.505275621356414,Spring,PG13,Romantic Comedy,"""A forgettable movie with a lack of memorable or compelling moments.""","""An underwhelming cinematic effort with unengaging performances.""","""A timeless classic that leaves a lasting imprint on cinema.""",False
34,"""Crazy in Love... Again""",132,2,2020,75785458.28234716,46.12517748190575,Summer,R,Romantic Comedy,"""A movie that lacks depth and fails to resonate on an emotional level.""","""An attempt at suspense that fails to deliver genuine excitement.""","""A visually stunning experience that transports viewers to new realms.""",False
35,"""Kisses & Cupcakes""",125,1,2002,32.718478586208555,18.99371783551541,Fall,PG13,Romantic Comedy,"""An uninspired attempt at storytelling with weak character arcs.""","""A film that struggles to find its footing, resulting in a disjointed experience.""","""An enchanting tale that sparks laughter, tears, and reflection.""",False
36,"""The Wedding Crash""",135,1,2005,133.60449120560025,90.87279530344108,Summer,PG13,Romantic Comedy,"""An unconvincing narrative that leaves audiences dissatisfied.""","""A lackluster portrayal of drama that fails to evoke emotion.""","""An uninspired plotline that lacks originality and creativity.""",False
37,"""The Love Amalgamation""",128,0,2002,49.30302454581895,61.80466272637046,Winter,PG13,Romantic Comedy,"""A celebration of resilience and courage that resonates universally.""","""A film with potential but marred by poor execution and direction.""","""A film that remains relevant and impactful across generations.""",True
38,"""Love in the Limelight""",126,1,2011,102.91663871943224,130.70821732335438,Spring,PG13,Romantic Comedy,"""An unsuccessful attempt at suspense that lacks necessary tension.""","""An immersive narrative that captivates with its rich storytelling.""","""A lack of chemistry between characters hinders the overall impact.""",False
39,"""The Accidental Engagement""",123,1,2009,90.12876954845,100.77616913470759,Spring,R,Romantic Comedy,"""An underdeveloped cinematic effort with unremarkable performances.""","""A movie with a predictable storyline that fails to surprise or excite.""","""An uninspiring plotline that struggles to captivate and engage.""",False
40,"""Falling for the Boss""",140,1,2015,49.37438383379756,32.20760688866866,Fall,PG,Romantic Comedy,"""A lackluster attempt at humor that fails to evoke genuine laughs.""","""A film with potential that falls short due to inconsistent pacing.""","""An unconvincing portrayal of suspense that lacks genuine thrills.""",False
41,"""The Romantic Detour""",130,1,2002,80.05944944422528,108.7490376717263,Summer,R,Romantic Comedy,"""A slow-paced narrative that fails to sustain viewer interest.""","""An uninspired film that lacks authenticity and genuine emotion.""","""A puzzling plot that fails to deliver a satisfying resolution.""",False
42,"""Love in Full Bloom""",136,3,2003,239.25130254642207,321.2034831219867,Summer,PG13,Romantic Comedy,"""A cinematic treasure that shines brightly with each viewing.""","""A heartwarming experience that leaves a sense of joy and fulfillment.""","""A forgettable cinematic experience with little substance or impact.""",True
43,"""Heartstrings and Hiccups""",125,1,2007,60.95497079508525,91.42299402220257,Spring,PG,Romantic Comedy,"""An uninteresting movie that fails to offer anything new or captivating.""","""A poorly executed attempt at drama with weak character development.""","""A testament to the art of storytelling, engaging minds and hearts.""",False
44,"""The Love Café""",141,5,2021,145.96149683315423,98.48094902402887,Summer,PG,Romantic Comedy,"""A confusing plotline that leaves viewers disconnected and unsatisfied.""","""A film that transcends boundaries, appealing to a broad audience.""","""A captivating journey that evokes a range of emotions.""",True
45,"""Love in Rewind""",138,1,2022,125.2735495070162,107.36067168524166,Summer,PG13,Romantic Comedy,"""An uplifting narrative that inspires and resonates with optimism.""","""An underwhelming film that lacks depth and emotional resonance.""","""A celebration of diversity and inclusivity that leaves a positive mark.""",True
46,"""The Wedding Weekend""",143,3,2022,33493393.342013888,48.78995648343527,Summer,PG13,Romantic Comedy,"""A disjointed narrative that struggles to maintain coherence.""","""A visually dull experience that lacks creativity and originality.""","""A film that resonates deeply, leaving a profound impact.""",False
47,"""The Love Auction""",117,100,2012,59.801772291167175,32.294516573237225,Fall,R,Romantic Comedy,"""An unconvincing attempt at storytelling with a forgettable plot.""","""A lackluster cinematic endeavor that fails to engage audiences.""","""An attempt at drama that lacks emotional resonance, leaving audiences unaffected.""",False
48,"""Love at the Box Office""",129,3,2018,145.5254100875864,88.50839795829795,Summer,R,Romantic Comedy,"""A forgettable cinematic experience with little to offer in terms of substance.""","""An uninspired plot that fails to offer any engaging or memorable moments.""","""A film that lacks a compelling narrative and struggles to hold attention.""",False
49,"""Cupid's Classroom""",133,0,2012,56.12398302405808,73.93697007027907,Summer,R,Romantic Comedy,"""An attempt at suspense that fails to deliver genuine thrills or excitement.""","""A lackluster attempt at storytelling with weak character development.""","""An uninspired movie that struggles to engage audiences on any meaningful level.""",False
50,"""The Love Conundrum""",132,1,2014,80.72127212165998,62.447502951273904,Summer,PG13,Romantic Comedy,"""A confusing plot that leaves viewers disconnected and unsatisfied.""","""An enchanting story that captures the essence of love and friendship.""","""An uninspired portrayal of drama that fails to evoke genuine emotion.""",False
51,"""Tangled Up in Love""",133,3,2015,93.05400581278882,118.95359023498568,Fall,PG13,Romantic Comedy,"""A film that falls short in creating a believable and immersive world.""","""An attempt at suspense that lacks the necessary build-up to create genuine excitement.""","""A cinematic treasure that stands out for its compelling characters.""",False
52,"""Heartstrings and Whirlwinds""",0,1,2011,43.92020604073273,42.12438479725809,Winter,PG13,Romantic Comedy,"""A visually striking masterpiece that mesmerizes with its artistry.""","""A touching narrative that celebrates the beauty of human connections.""","""A lackluster attempt at storytelling that struggles to captivate audiences.""",True
53,"""The Accidental Wedding Planner""",0,0,2020,124.86725103605256,128.15334343808502,Spring,R,Romantic Comedy,"""An exhilarating ride filled with suspense, excitement, and heart.""","""An uninspired film with little to offer in terms of originality or excitement.""","""A confusing narrative that fails to provide a satisfying resolution.""",True
54,"""The Love Experiment""",141,1,2011,56.3683021285968,60.79279534776773,Summer,PG13,Romantic Comedy,"""An attempt at drama that lacks emotional resonance, leaving audiences unaffected.""","""A testament to the magic of storytelling, captivating audiences.""","""A heartwarming tale that brings warmth and joy to every viewer.""",False
55,"""Love in Translation""",130,2,2004,86.69814688417736,124.21362212549509,Summer,PG13,Romantic Comedy,"""A forgettable cinematic experience with little to offer in terms of substance.""","""A visually captivating spectacle that transports viewers to new worlds.""","""An uninspired plot that fails to offer any engaging or memorable moments.""",False
56,"""The Proposal Predicament""",127,3,2017,178.9989919747516,196.7226384326723,Summer,R,Romantic Comedy,"""A film that lacks a compelling narrative and struggles to hold attention.""","""An attempt at suspense that fails to deliver genuine thrills or excitement.""","""A lackluster attempt at storytelling with weak character development.""",True
57,"""Love on the Red Carpet""",123,2,2018,42.2793006630261,41.27240600460473,Winter,R,Romantic Comedy,"""An uninspired movie that struggles to engage audiences on any meaningful level.""","""A confusing plot that leaves viewers disconnected and unsatisfied.""","""An uninspired portrayal of drama that fails to evoke genuine emotion.""",False
58,"""The Love Calendar""",121,0,2020,55.732226765927884,76.5855794246882,Winter,PG,Romantic Comedy,"""A film that falls short in creating a believable and immersive world.""","""An attempt at suspense that lacks the necessary build-up to create genuine excitement.""","""A timeless classic that continues to captivate audiences.""",False
59,"""Falling for the Co-Star""",143,0,2023,77.79584870238823,51.949620777487794,Summer,R,Romantic Comedy,"""A lackluster attempt at storytelling that struggles to captivate audiences.""","""An emotionally resonant story that connects with diverse audiences.""","""A cinematic triumph that transcends genres with its brilliance.""",False
60,"""Matched by Mistake""",124,1,2015,61.91090903111114,61.6126971351646,Fall,PG13,Romantic Comedy,"""An uninspired film with little to offer in terms of originality or excitement.""","""A confusing narrative that fails to provide a satisfying resolution.""","""An attempt at drama that lacks emotional resonance, leaving audiences unaffected.""",False
61,"""Heartstrings and High-Rises""",138,0,2021,52.310210946070804,42.1639830593724,Summer,R,Romantic Comedy,"""A forgettable cinematic experience with little to offer in terms of substance.""","""A beautifully crafted narrative that unfolds with depth and authenticity.""","""An uninspired plot that fails to offer any engaging or memorable moments.""",False
62,"""The Love Detective""",146,1,2008,51.67999577809874,52.67786348228055,Winter,R,Romantic Comedy,"""A film that lacks a compelling narrative and struggles to hold attention.""","""An attempt at suspense that fails to deliver genuine thrills or excitement.""","""A testament to the power of storytelling, leaving a positive impact.""",False
63,"""Love on the Dance Floor""",136,0,2021,63.51973486922835,48.621934686183465,Spring,PG,Romantic Comedy,"""A lackluster attempt at storytelling with weak character development.""","""An uninspired movie that struggles to engage audiences on any meaningful level.""","""An uplifting film that resonates with its messages of hope and resilience.""",False
64,"""The Rom-Com Reboot""",138,0,2001,134.50530623180336,169.04732407842837,Summer,PG,Romantic Comedy,"""A confusing plot that leaves viewers disconnected and unsatisfied.""","""An uninspired portrayal of drama that fails to evoke genuine emotion.""","""A captivating journey that engages the audience's emotions.""",False
65,"""The Love Test""",132,0,2012,33.47082325937699,40.29215782140529,Spring,PG13,Romantic Comedy,"""A film that falls short in creating a believable and immersive world.""","""An attempt at suspense that lacks the necessary build-up to create genuine excitement.""","""A lackluster attempt at storytelling that struggles to captivate audiences.""",False
66,"""Heartstrings and Hemlines""",117,3,2005,124.41549451911017,84.61565952036882,Fall,PG13,Romantic Comedy,"""A feel-good movie that strikes a perfect balance between humor and emotion.""","""An uninspired film with little to offer in terms of originality or excitement.""","""A confusing narrative that fails to provide a satisfying resolution.""",True
67,"""The Love Bug""",128,3,2007,97.66601541098356,121.53137040889723,Spring,PG13,Romantic Comedy,"""An attempt at drama that lacks emotional resonance, leaving audiences unaffected.""","""A forgettable cinematic experience with weak character development and unconvincing performances.""","""An uninspired plot that fails to engage audiences on any meaningful level.""",False
68,"""Love, Laughter, and Lattes""",136,1,2020,88.09427901099798,110.80328133245786,Summer,PG13,Romantic Comedy,"""A movie that lacks a compelling narrative and struggles to hold attention.""","""A celebration of creativity and imagination that appeals universally.""","""An immersive experience that captivates with its storytelling.""",False
69,"""The Wedding Wager""",138,1,2016,75.52932969324748,74.52643867231131,Fall,PG,Romantic Comedy,"""An unconvincing attempt at humor that falls flat, leaving audiences unamused.""","""A cinematic gem that stands out for its authenticity and heart.""","""A poorly executed cinematic effort that struggles to maintain viewer interest.""",False
70,"""Falling for the Enemy""",137,3,2007,92.75091862572138,49.496847489738094,Summer,PG13,Romantic Comedy,"""An uninspired movie with a lack of creativity and originality in its execution.""","""A lackluster portrayal of drama that fails to evoke genuine emotion.""","""A compelling story that skillfully explores a range of themes.""",False
71,"""The Love Equation""",113,0,2013,38.54290611637065,38.169836512821114,Spring,R,Romantic Comedy,"""An attempt at suspense that lacks the necessary buildup to create genuine tension.""","""A film with potential that is hindered by lackluster execution and poor character arcs.""","""An uninspired attempt at storytelling with little to offer in terms of substance.""",False
72,"""Heartstrings and Harmony""",133,0,2001,45.31613284416829,26.799818869468933,Winter,PG,Romantic Comedy,"""A confusing narrative that leaves audiences questioning the purpose and direction of the film.""","""An inspiring narrative that offers both entertainment and depth.""","""An unconvincing portrayal of emotion that fails to resonate with viewers.""",False
73,"""Love in the Director's Chair""",137,3,2010,159.63215550567983,84.01865528320029,Summer,PG,Romantic Comedy,"""A delightful and charming tale that enchants audiences of all ages.""","""A movie that falls short in creating a believable and immersive world.""","""An uninspired plot that fails to offer any engaging or memorable moments.""",True
74,"""The Accidental Heartthrob""",121,0,2001,31.28694418111971,44.2794386701214,Winter,PG,Romantic Comedy,"""A film that struggles to find a balance between various elements, resulting in a disjointed viewing experience.""","""An attempt at drama that lacks depth, leaving audiences emotionally detached.""","""A thought-provoking film that sparks contemplation and joy.""",False
75,"""Love at First Write""",142,0,2009,52.70792070732939,78.2951291810015,Spring,PG13,Romantic Comedy,"""A forgettable cinematic experience with lackluster performances.""","""A poorly executed movie with inconsistent pacing and weak dialogue.""","""An uninspiring film that fails to create a compelling and immersive experience.""",False
76,"""The Love Flashback""",145,2,2005,106.90434789059391,142.3583487685208,Fall,R,Romantic Comedy,"""A confusing plot that leaves viewers scratching their heads in confusion.""","""A lackluster attempt at storytelling with an uninteresting and mundane plot.""","""An underwhelming cinematic effort with little to offer in terms of enjoyment.""",False
77,"""Heartstrings and Happily Ever Afters""",133,2,2018,240.3315319231502,215.34189647736028,Summer,PG,Romantic Comedy,"""A film with potential that falls short due to poor execution.""","""An attempt at suspense that fails to deliver genuine excitement.""","""An exhilarating adventure that seamlessly blends action and emotion.""",False
78,"""The Love Cafe""",135,1,2011,103.77339070021635,83.0881569535457,Spring,PG,Romantic Comedy,"""A lack of chemistry between characters hinders the overall impact.""","""An uninspired movie that struggles to engage and entertain audiences.""","""A heartwarming tale that resonates universally with its charm.""",False
79,"""Love in a Time Capsule""",136,1,2000,81.36626158328943,42.91031703284255,Fall,PG,Romantic Comedy,"""A confusing narrative that leaves audiences bewildered and unsatisfied.""","""A visually stunning masterpiece that mesmerizes with its artistry.""","""An unconvincing portrayal of emotion that fails to connect with viewers.""",False
80,"""The Proposal Planner""",0,1,2019,40.763452196486796,20.436037106572233,Summer,PG13,Romantic Comedy,"""A film with potential but hindered by a lack of creativity and imagination.""","""An enthralling cinematic journey that captivates from start to finish.""","""An uninspired plot that lacks originality and fails to offer anything new.""",False
81,"""Love in Translation""",136,1,2009,113.3453196801893,73.1608301957676,Winter,PG13,Romantic Comedy,"""A lackluster portrayal of drama that fails to resonate with audiences.""","""A poorly executed cinematic effort with unconvincing performances.""","""An emotionally resonant movie that connects universally.""",False
82,"""Heartstrings and Heels""",137,4,2019,120.6233550844882,78.64071288154076,Fall,PG,Romantic Comedy,"""A cinematic triumph that surpasses boundaries with its brilliance.""","""An attempt at suspense that lacks the necessary tension to be compelling.""","""A film that fails to evoke genuine emotion, leaving viewers detached.""",True
83,"""The Love Dilemma""",135,2,2012,104024452.79461834,52.99640066082126,Summer,R,Romantic Comedy,"""An uninspired attempt at humor that falls flat and lacks genuine laughs.""","""A movie that struggles to find its footing, resulting in a lack of cohesion.""","""An unconvincing attempt at suspense that lacks genuine thrills.""",False
84,"""Love on the Big Screen""",138,1,2007,26.40133264190622,39.295787962243686,Summer,PG13,Romantic Comedy,"""A lack of character depth diminishes the overall impact of the film.""","""A confusing narrative that leaves audiences questioning the storyline.""","""A beautifully crafted narrative that unfolds with depth and resonance.""",False
85,"""The Love Map""",138,3,2016,37.730020659050844,32.31474865317662,Summer,PG13,Romantic Comedy,"""A forgettable cinematic experience with little to offer in terms of substance.""","""A testament to the power of storytelling, leaving a positive mark.""","""An uplifting film that leaves a profound impact on viewers.""",False
86,"""The Love Handbook""",131,2,2016,55.54066989859846,42.485574683204966,Summer,R,Romantic Comedy,"""An uninspiring plot that fails to captivate and hold attention.""","""A film with potential that falters due to inconsistent pacing.""","""An attempt at drama that falls flat, lacking emotional depth.""",False
87,"""Heartstrings and Hurdles""",135,0,2007,66.44382514078714,90.38472279243162,Fall,PG13,Romantic Comedy,"""A confusing plot that leaves viewers disconnected and disinterested.""","""An underwhelming movie with a predictable and unoriginal storyline.""","""A compelling journey that engages both the mind and emotions.""",False
88,"""Love at First Swipe""",117,1,2015,63.92395950365212,38.83620299219149,Winter,PG13,Romantic Comedy,"""A feel-good movie that blends humor and heart in perfect harmony.""","""A poorly executed cinematic effort with weak character development.""","""A disjointed narrative that struggles to engage the audience.""",True
89,"""The Wedding Whisperer""",0,1,2002,116.2299657633034,96.67813048364779,Winter,PG,Romantic Comedy,"""An uninspired film that fails to leave a lasting impact.""","""A lackluster attempt at storytelling with a forgettable plot.""","""A celebration of creativity and storytelling that resonates widely.""",False
90,"""The Love Forecast""",135,0,2020,98.59689359698191,125.56845939378688,Spring,PG13,Romantic Comedy,"""A lackluster cinematic effort that fails to leave an impact.""","""An attempt at drama that lacks emotional resonance.""","""A film that fails to evoke genuine emotions or connection.""",False
91,"""Love on the Menu""",123,1,2004,57.149182537586455,53.13347776044102,Fall,R,Romantic Comedy,"""An uninspired attempt at character development and growth.""","""A movie that lacks coherence and struggles with pacing.""","""An underwhelming conclusion that leaves viewers dissatisfied.""",False
92,"""Heartstrings and Harmonies""",133,3,2003,110.91452527836319,125.83132702448533,Summer,R,Romantic Comedy,"""An immersive experience that captures the imagination.""","""A lack of originality in storytelling and execution.""","""A thought-provoking exploration that engages and entertains.""",True
93,"""The Accidental Matchmaker""",132,1,2018,62.44226469379644,81.84396864138354,Spring,R,Romantic Comedy,"""An attempt at suspense that fails to build tension or excitement.""","""An inspiring tale that evokes joy and contemplation.""","""A delightful cinematic gem that appeals to diverse viewers.""",False
94,"""Love in the Rewrite""",136,1,2009,40.263476697653445,26.4759676625562,Winter,PG13,Romantic Comedy,"""A film that struggles to create a cohesive and engaging narrative.""","""An uninspiring storyline that lacks memorable moments.""","""A compelling narrative that skillfully explores various themes.""",False
95,"""The Love Auction""",116,3,2004,48.830355877601775,61.12087458667551,Fall,R,Romantic Comedy,"""A movie that fails to engage or entertain audiences.""","""An underwhelming cinematic effort that feels incomplete.""","""A film that celebrates the human spirit, uplifting audiences.""",False
96,"""Heartstrings and Honeymooners""",121,1,2019,220.77631716775454,132.57458169111962,Summer,PG13,Romantic Comedy,"""An exhilarating adventure that combines action and emotion seamlessly.""","""A disappointing portrayal of relationships and conflicts.""","""An attempt at drama that lacks emotional depth and impact.""",True
97,"""The Proposal Plot""",120,0,2006,145208367.80313492,193.01148058755862,Summer,PG13,Romantic Comedy,"""A film that fails to leave a lasting impression or resonance.""","""A heartwarming journey that resonates universally with its charm.""","""A visually stunning experience that leaves a lasting impression.""",False
98,"""Love on Location""",0,0,2010,116.68431172824245,157.1226801458602,Fall,R,Romantic Comedy,"""An uninspired narrative that lacks depth and resonance.""","""A movie that lacks authenticity and fails to connect emotionally.""","""An underwhelming conclusion that fails to deliver closure.""",False
99,"""Heartstrings and Happenings""",129,1,2009,78.90971409992716,43.00446122123842,Summer,R,Romantic Comedy,"""A lack of depth in storytelling and character exploration.""","""An enchanting tale that seamlessly weaves emotion and excitement.""","""An attempt at humor that feels forced and out of place.""",False
100,"""Love on the Wrong Side of the Bed""",132,1,2016,76.82715958989206,113.1415147154955,Summer,PG13,Romantic Comedy,"""A film that lacks cohesion and struggles with pacing.""","""An uninspired cinematic effort with a lack of meaningful moments.""","""A movie that fails to make a memorable impact on audiences.""",False
101,"""Dysfunctional Dating Diaries""",138,0,2007,82.25295202380994,55.58909144992041,Spring,PG,Romantic Comedy,"""An unconvincing attempt at character growth and development.""","""A lack of originality in execution and plot development.""","""An underwhelming narrative that struggles to find direction.""",False
102,"""Romance in a Dumpster""",128,3,2019,125.10260258121863,169.59416996192493,Summer,R,Romantic Comedy,"""A disappointing portrayal of conflict and resolution.""","""A cinematic gem that transcends genres, leaving a lasting impact.""","""An uninspiring plotline that fails to captivate or engage.""",False
103,"""Cupid's Catastrophe""",136,1,2005,34.46681526265779,18.34174616383379,Spring,PG,Romantic Comedy,"""A film that lacks coherence and leaves viewers confused.""","""An attempt at suspense that lacks the necessary thrills.""","""An unremarkable cinematic effort with a forgettable storyline.""",False
104,"""The Awkward Affair""",125,1,2004,152.87192032054517,127.76036028736766,Summer,R,Romantic Comedy,"""A lackluster performance that fails to engage audiences.""","""An uninspired attempt at storytelling that lacks impact.""","""A film that feels rushed and underdeveloped in its execution.""",False
105,"""Disastrous Dates & Daisies""",142,1,2022,116.41511013035674,130.76183519162706,Fall,PG13,Romantic Comedy,"""An underdeveloped script that leaves the story incomplete.""","""A timeless classic that evokes nostalgia and admiration.""","""A movie that fails to evoke genuine emotions or connection.""",False
